iter	TotalF1	MultiClass
615	0.9459253371	0.1539598906
616	0.9459856509	0.153857324
617	0.9460124746	0.1538046458
618	0.9461362622	0.1536494971
619	0.9461655894	0.1535437557
620	0.9461968462	0.1534190623
621	0.9462213522	0.1533194368
622	0.9462769241	0.1532256384
623	0.9463063836	0.1531628451
624	0.9463537361	0.1530604296
625	0.9463869878	0.15294346
626	0.9464128885	0.1528590208
627	0.9464417666	0.1528016698
628	0.9465217376	0.1527223432
629	0.9465451367	0.1526319807
630	0.9465780652	0.1525175123
631	0.9466206811	0.1524455934
632	0.9466442583	0.152366253
633	0.9467085431	0.1522744474
634	0.9467969085	0.152162824
635	0.9468484869	0.1520527947
636	0.946878566	0.1519902487
637	0.9469077665	0.1519021126
638	0.946960422	0.1518296302
639	0.9470142125	0.1517184465
640	0.9470645205	0.1516576596
641	0.9471114098	0.1515819063
642	0.9471967035	0.1514553026
643	0.9472214556	0.1513523924
644	0.9472541329	0.1512526981
645	0.9472875913	0.1511758041
646	0.9473222537	0.1510746255
647	0.9473295213	0.1510231567
648	0.94739929	0.1508979822
649	0.9474412149	0.1507991813
650	0.9474838874	0.1507192362
651	0.9475217328	0.1506441013
652	0.9475553944	0.1505698048
653	0.9475652358	0.1505006345
654	0.9476532517	0.1503720517
655	0.947694645	0.1503064959
656	0.9477182636	0.1502707083
657	0.9477284027	0.1502026374
658	0.9477934557	0.1501163979
659	0.9478567988	0.1499830187
660	0.9478768273	0.1499076364
661	0.9479306583	0.1498253275
662	0.9479461335	0.1497437607
663	0.9479841597	0.1496605173
664	0.9480778743	0.1495182873
665	0.9481174465	0.1494303162
666	0.9481402883	0.1493693781
667	0.9481675704	0.1492643927
668	0.9481857234	0.1491932021
669	0.9482115622	0.1491187132
670	0.9482383859	0.1490465469
671	0.9483039783	0.1489569402
672	0.9483715476	0.1488182286
673	0.9483834063	0.1487485086
674	0.9484176473	0.148680479
675	0.9484544482	0.148562561
676	0.948482216	0.1485123703
677	0.9485216314	0.1484178436
678	0.9485972763	0.1482792419
679	0.9486524861	0.1481897727
680	0.9487155704	0.1480612174
681	0.9487571689	0.1479581698
682	0.9487822643	0.147881097
683	0.9488234562	0.1477629317
684	0.9488779766	0.1476327272
685	0.9489437646	0.1475068107
686	0.9490176548	0.1473950772
687	0.9490699185	0.1472869033
688	0.9491076278	0.147196582
689	0.9491436724	0.1471134485
690	0.9491686967	0.1470353313
691	0.9492458879	0.1469197222
692	0.9492680709	0.1468504008
693	0.9493222925	0.146747738
694	0.9493883868	0.1466366367
695	0.94943754	0.1465651438
696	0.9495074269	0.1464715516
697	0.9495222471	0.1464203164
698	0.9495663128	0.1463254873
699	0.9496200985	0.146229861
700	0.9496597474	0.1461346609
701	0.9497026609	0.1460211133
702	0.9497695393	0.1459010926
703	0.9498047676	0.1458161587
704	0.949827487	0.1457480329
705	0.9499204045	0.1456231471
706	0.9499477509	0.1455422263
707	0.949973031	0.1454521524
708	0.949983657	0.1453778558
709	0.9499884411	0.1453006182
710	0.9500392788	0.1452344027
711	0.9501165436	0.1451107263
712	0.950133663	0.1450504892
713	0.9502132476	0.1449928221
714	0.9502233649	0.1449523617
715	0.9502693777	0.144881982
716	0.9503039372	0.1448334817
717	0.9503465373	0.1447329491
718	0.9503983355	0.1446195802
719	0.9504434603	0.1445189652
720	0.9505297884	0.1443567387
721	0.9505244903	0.1442920212
722	0.9505737378	0.1442199923
723	0.950618964	0.1441018545
724	0.9506742117	0.1439952061
725	0.9507229002	0.1439239193
726	0.9507405028	0.1438368965
727	0.9508489759	0.1437065958
728	0.9508874896	0.1436196691
729	0.9509379616	0.1435137078
730	0.9509666786	0.1434337353
731	0.9510191123	0.1433070353
732	0.9510628964	0.1432451353
733	0.9510947808	0.1431294575
734	0.9511547273	0.1430147968
735	0.9511879762	0.1429495158
736	0.9512374662	0.1428496567
737	0.9512530007	0.1428039188
738	0.9512846997	0.1427292512
739	0.9513412013	0.142639191
740	0.9513619913	0.1425701307
741	0.9514240969	0.1425003419
742	0.9514608311	0.1424253582
743	0.9515337384	0.1423338413
744	0.9515634988	0.1422780982
745	0.9515874112	0.1421985517
746	0.9516197438	0.1421012351
747	0.9516441217	0.1420275432
748	0.9516901476	0.141897325
749	0.9517360916	0.141820321
750	0.9517417244	0.1417409669
751	0.9517993607	0.1416162048
752	0.9518421251	0.1415079621
753	0.9518844018	0.1414221487
754	0.9519383527	0.1413477559
755	0.9519746653	0.1412801661
756	0.9519948699	0.1411971838
757	0.9520658565	0.1411242478
758	0.9520722626	0.1410453197
759	0.952112919	0.1409751599
760	0.9521456581	0.1409193207
761	0.9521887714	0.1408620934
762	0.9521993237	0.1408295079
763	0.9522428282	0.1407681576
764	0.952267081	0.1407402311
765	0.952302803	0.140638228
766	0.9523798779	0.1405442922
767	0.9524028315	0.1404817462
768	0.9524398076	0.1404117925
769	0.9524868257	0.140311576
770	0.9525514656	0.1401644397
771	0.9525755676	0.140088975
772	0.9526030288	0.1400187052
773	0.9526589676	0.1399152453
774	0.9526988708	0.13982803
775	0.9527064764	0.1397423952
776	0.9527344518	0.1396759873
777	0.9527944917	0.1395772276
778	0.9528255469	0.139501488
779	0.9528642777	0.1394389283
780	0.9528759097	0.1393721219
781	0.9529124502	0.1393184129
782	0.9529377793	0.1392542314
783	0.9529748782	0.1391668512
784	0.9529971775	0.139117705
785	0.95303385	0.139047339
786	0.9530614714	0.1389977255
787	0.9530994228	0.1389525511
788	0.9531464085	0.1388431266
789	0.9531965713	0.138763154
790	0.9532341457	0.1386891598
791	0.9532693717	0.1385961036
792	0.9533086422	0.1384916267
793	0.9533793999	0.1383966464
794	0.9533903928	0.1383047583
795	0.9534389125	0.1382384329
796	0.9534636798	0.1381698674
797	0.9534701687	0.138107665
798	0.9535058153	0.1380382473
799	0.9535822811	0.1379228032
800	0.9536271531	0.1378328667
801	0.9536538422	0.1377353714
802	0.953684313	0.137696354
803	0.9537139812	0.1376206556
804	0.9537617113	0.1375308291
805	0.9537923355	0.1374600646
806	0.9537815292	0.1374134059
807	0.9538080747	0.1373248987
808	0.9538220937	0.1372652938
809	0.9538852239	0.1371728698
810	0.9539116394	0.1371276679
811	0.9539421548	0.1370462935
812	0.9539848139	0.1369629126
813	0.954006279	0.1368995008
814	0.9540163016	0.1368172606
815	0.9540459917	0.1367709868
816	0.9540904553	0.1366895437
817	0.9541372892	0.1366448503
818	0.9541699278	0.1365541304
819	0.9541835882	0.1364790505
820	0.9542150904	0.1363791089
821	0.9542462189	0.1363154222
822	0.9542784943	0.1362533572
823	0.9543062811	0.136184077
824	0.9543628419	0.1360863068
825	0.9544067219	0.1359855406
826	0.9544360622	0.1359344565
827	0.9544792106	0.1358178717
828	0.9545112129	0.1357647262
829	0.954503697	0.1357242108
830	0.9545271141	0.1356533913
831	0.9545751242	0.1355854579
832	0.9546358534	0.135486547
833	0.9547010225	0.1354228054
834	0.9547621917	0.1353200463
835	0.9548323326	0.135195614
836	0.9548683683	0.1351393625
837	0.9549295789	0.1350838119
838	0.9549736882	0.1349867014
839	0.9549917842	0.1349369917
840	0.9550117255	0.1348357582
841	0.9550800084	0.1347392111
842	0.9551272627	0.1346422106
843	0.9551496528	0.134575198
844	0.9551967188	0.1344754488
845	0.955204301	0.1344056188
846	0.9552381091	0.1343415748
847	0.9552809866	0.1342607502
848	0.9553060726	0.1341899307
849	0.955315031	0.1341512294
850	0.9553848442	0.1340304803
851	0.9554131671	0.133948405
852	0.9554196226	0.1339088242
853	0.9554581559	0.1338458384
854	0.9554540181	0.1337791969
855	0.955472979	0.1337024953
856	0.9554884113	0.1336107859
857	0.9555562049	0.1335110917
858	0.955601652	0.1334413716
859	0.9556330301	0.1333786195
860	0.9556570901	0.133304213
861	0.9556646119	0.1332359773
862	0.955695885	0.1331605675
863	0.955772015	0.1330667417
864	0.9558301917	0.132983402
865	0.9558825601	0.1329035531
866	0.9558952196	0.1328441819
867	0.9559357959	0.1327760698
868	0.9559689382	0.1326863257
869	0.9560244173	0.1325944102
870	0.9561065077	0.1325101635
871	0.9561340735	0.1324600965
872	0.9561429637	0.1324149496
873	0.9561512451	0.1323513041
874	0.9561700494	0.1322670986
875	0.9562119403	0.1321658788
876	0.9562719293	0.1320849717
877	0.9562997351	0.1320220822
878	0.9563282952	0.1319511802
879	0.9563841588	0.1318612162
880	0.9564232007	0.131768105
881	0.9564795941	0.1317172959
